Datum;Tijd;Parameter;Locatie;Waarde;Eenheid;Windrichting;Windrichting eenheid;Bemonsteringshoogte;Referentievlak;
2-1-2022;09:40:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;205,5;graden;-999999999;NVT;
2-1-2022;09:50:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;210,2;graden;-999999999;NVT;
2-1-2022;10:00:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;208,1;graden;-999999999;NVT;
2-1-2022;10:10:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;200,7;graden;-999999999;NVT;
2-1-2022;10:20:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;203,7;graden;-999999999;NVT;
2-1-2022;10:30:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;206,9;graden;-999999999;NVT;
2-1-2022;10:40:00;Temperatuur Oppervlaktewater oC;Nes;5,8;oC;208,2;graden;-999999999;NVT;
2-1-2022;10:50:00;Temperatuur Oppervlaktewater oC;Nes;5,8;oC;205,3;graden;-999999999;NVT;
2-1-2022;11:00:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;205,0;graden;-999999999;NVT;
2-1-2022;11:10:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;204,7;graden;-999999999;NVT;
2-1-2022;11:20:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;204,4;graden;-999999999;NVT;
2-1-2022;11:30:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;206,3;graden;-999999999;NVT;
2-1-2022;11:40:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;207,0;graden;-999999999;NVT;
2-1-2022;11:50:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;208,7;graden;-999999999;NVT;
2-1-2022;12:00:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;208,5;graden;-999999999;NVT;
2-1-2022;12:10:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;209,6;graden;-999999999;NVT;
